Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Scap_DM21B06,Sepi_1A04_aa,Sepi_1C01_aa,Sepi_28C03_a,Sepi_28C09_a,Sepi_29G01_a,Sepi_2A01_aa,Sepi_2C10_ad,Sepi_2D07_ad,Sepi_2d12_aa,Sepi_2E07_ad,Sepi_2g06_aa,Sepi_30A07_a,Sepi_30B01_a,Sepi_3A01_ad,Sepi_3A05_ad,Sepi_3A07_ad,Sepi_3a11_aa,Sepi_3C06_ad,Sepi_3c09_aa,Sepi_3c10_aa,Sepi_3D11_aa,Sepi_58D03_C,Sepi_58D04_C,Sepi_58F01_C,Sepi_5A02_aa,Sepi_5B11_aa,Sepi_5c01_aa,Sepi_5C04_ad,Sepi_61B02_C,Sepi_63G02_C,Sepi_6A01_aa,Sepi_6b04_aa,Sepi_6B08_ad,Sepi_6C06_aa,Sepi_6C08_ad,Sepi_6d05_aa,Sepi_6E08_ad,Sepi_7a07_aa,Sepi_7B05_aa,Sepi_8C10_ad,Sepi_9B05_ad,Sepi_9D01_ad,Sepi_9d05_aa,Sepi_9d06_aa,Sepi_9E06_aa,Sepi_DM12F07,Sepi_DM12G05,Sepi_DM12H06,Sepi_DM1B01_,Sepi_DM21A02,Sepi_DM21B07,Sepi_DM21C07,Sepi_DM21F02,Sepi_DM23A01,Sepi_DM23A02,Sepi_DM23A03,Sepi_DM23C12,Sepi_DM23E02,Sepi_DM23E06,Sepi_DM24B02,Sepi_DM24B03,Sepi_DM24B04,Sepi_DM24G04,Sepi_DM24G05,Sepi_DM2D11_,Sepi_DM2G10_,Sepi_DM2H03_,Sepi_DM39F06,Sepi_DM3A08_,Shom_28C10_a,Shom_6C072_a,Shom_DM12H05
yfcA,yfcA;,putative membrane transporter protein YfcA;hypothetical protein,73,77,1.0547945205479452,1,1204,,,,246,765,724.7142857142857,Scap_DM21B06_00895;Scap_DM21B06_00894,Sepi_1A04_aa_01314;Sepi_1A04_aa_01313,Sepi_1C01_aa_00517,Sepi_28C03_a_01004,Sepi_28C09_a_00815,Sepi_29G01_a_01026,Sepi_2A01_aa_01317,Sepi_2C10_ad_01833,Sepi_2D07_ad_02074,Sepi_2d12_aa_01096,Sepi_2E07_ad_00269,Sepi_2g06_aa_01121,Sepi_30A07_a_00712,Sepi_30B01_a_02082,Sepi_3A01_ad_00350,Sepi_3A05_ad_00582,Sepi_3A07_ad_00738,Sepi_3a11_aa_00019,Sepi_3C06_ad_01803,Sepi_3c09_aa_00533,Sepi_3c10_aa_01434,Sepi_3D11_aa_00301,Sepi_58D03_C_01510,Sepi_58D04_C_00994,Sepi_58F01_C_00197,Sepi_5A02_aa_01526,Sepi_5B11_aa_00817,Sepi_5c01_aa_01342,Sepi_5C04_ad_00601,Sepi_61B02_C_00727,Sepi_63G02_C_01241,Sepi_6A01_aa_00822,Sepi_6b04_aa_01933,Sepi_6B08_ad_02049,Sepi_6C06_aa_00913,Sepi_6C08_ad_00060,Sepi_6d05_aa_00478,Sepi_6E08_ad_00538,Sepi_7a07_aa_01424,Sepi_7B05_aa_00301,Sepi_8C10_ad_00248,Sepi_9B05_ad_01745,Sepi_9D01_ad_01220,Sepi_9d05_aa_01064,Sepi_9d06_aa_02079,Sepi_9E06_aa_00868,Sepi_DM12F07_00430,Sepi_DM12G05_00236,Sepi_DM12H06_01234,Sepi_DM1B01__01261,Sepi_DM21A02_01661,Sepi_DM21B07_00843;Sepi_DM21B07_00842,Sepi_DM21C07_01157;Sepi_DM21C07_01158,Sepi_DM21F02_00404,Sepi_DM23A01_00129,Sepi_DM23A02_00729,Sepi_DM23A03_01009,Sepi_DM23C12_00983,Sepi_DM23E02_00498,Sepi_DM23E06_01610,Sepi_DM24B02_00777,Sepi_DM24B03_01035,Sepi_DM24B04_00296,Sepi_DM24G04_00610,Sepi_DM24G05_01221,Sepi_DM2D11__01077,Sepi_DM2G10__01722,Sepi_DM2H03__00111,Sepi_DM39F06_00890,Sepi_DM3A08__00063,Shom_28C10_a_00410,Shom_6C072_a_00919,Shom_DM12H05_01024
dapE_1~~~dapE_3~~~dapE_2,dapE_1;dapE_3;dapE_2,putative succinyl-diaminopimelate desuccinylase,73,73,1.0,1,1201,,,,1239,1245,1243.4383561643835,Scap_DM21B06_02109,Sepi_1A04_aa_02223,Sepi_1C01_aa_00616,Sepi_28C03_a_02279,Sepi_28C09_a_02085,Sepi_29G01_a_01549,Sepi_2A01_aa_01686,Sepi_2C10_ad_02055,Sepi_2D07_ad_00286,Sepi_2d12_aa_01943,Sepi_2E07_ad_00774,Sepi_2g06_aa_01085,Sepi_30A07_a_02031,Sepi_30B01_a_01222,Sepi_3A01_ad_01654,Sepi_3A05_ad_01660,Sepi_3A07_ad_01935,Sepi_3a11_aa_01728,Sepi_3C06_ad_01941,Sepi_3c09_aa_00595,Sepi_3c10_aa_01880,Sepi_3D11_aa_00532,Sepi_58D03_C_01798,Sepi_58D04_C_02057,Sepi_58F01_C_01730,Sepi_5A02_aa_01412,Sepi_5B11_aa_01879,Sepi_5c01_aa_02156,Sepi_5C04_ad_01112,Sepi_61B02_C_01874,Sepi_63G02_C_00965,Sepi_6A01_aa_01889,Sepi_6b04_aa_01506,Sepi_6B08_ad_00988,Sepi_6C06_aa_00418,Sepi_6C08_ad_01446,Sepi_6d05_aa_02131,Sepi_6E08_ad_01516,Sepi_7a07_aa_01646,Sepi_7B05_aa_01949,Sepi_8C10_ad_01097,Sepi_9B05_ad_01788,Sepi_9D01_ad_01099,Sepi_9d05_aa_00242,Sepi_9d06_aa_01792,Sepi_9E06_aa_01417,Sepi_DM12F07_00948,Sepi_DM12G05_01852,Sepi_DM12H06_00452,Sepi_DM1B01__01004,Sepi_DM21A02_01945,Sepi_DM21B07_02209,Sepi_DM21C07_00179,Sepi_DM21F02_01697,Sepi_DM23A01_01078,Sepi_DM23A02_01282,Sepi_DM23A03_02001,Sepi_DM23C12_01973,Sepi_DM23E02_01542,Sepi_DM23E06_00813,Sepi_DM24B02_02101,Sepi_DM24B03_00402,Sepi_DM24B04_00117,Sepi_DM24G04_01347,Sepi_DM24G05_00717,Sepi_DM2D11__00873,Sepi_DM2G10__00840,Sepi_DM2H03__00619,Sepi_DM39F06_01530,Sepi_DM3A08__02020,Shom_28C10_a_01740,Shom_6C072_a_00600,Shom_DM12H05_00565
argR_2,argR_2,Arginine repressor,73,73,1.0,1,1200,,,,342,462,460.35616438356163,Scap_DM21B06_02107,Sepi_1A04_aa_02225,Sepi_1C01_aa_00618,Sepi_28C03_a_02046,Sepi_28C09_a_01116,Sepi_29G01_a_01551,Sepi_2A01_aa_01684,Sepi_2C10_ad_02053,Sepi_2D07_ad_00284,Sepi_2d12_aa_01941,Sepi_2E07_ad_00776,Sepi_2g06_aa_01083,Sepi_30A07_a_02229,Sepi_30B01_a_01224,Sepi_3A01_ad_01652,Sepi_3A05_ad_01662,Sepi_3A07_ad_01937,Sepi_3a11_aa_01726,Sepi_3C06_ad_01939,Sepi_3c09_aa_00593,Sepi_3c10_aa_01878,Sepi_3D11_aa_00530,Sepi_58D03_C_01800,Sepi_58D04_C_02055,Sepi_58F01_C_01732,Sepi_5A02_aa_01414,Sepi_5B11_aa_01881,Sepi_5c01_aa_02154,Sepi_5C04_ad_01114,Sepi_61B02_C_01876,Sepi_63G02_C_00967,Sepi_6A01_aa_01887,Sepi_6b04_aa_01504,Sepi_6B08_ad_02290,Sepi_6C06_aa_00420,Sepi_6C08_ad_01448,Sepi_6d05_aa_02129,Sepi_6E08_ad_01514,Sepi_7a07_aa_01644,Sepi_7B05_aa_01951,Sepi_8C10_ad_01095,Sepi_9B05_ad_01790,Sepi_9D01_ad_01097,Sepi_9d05_aa_00244,Sepi_9d06_aa_01790,Sepi_9E06_aa_01419,Sepi_DM12F07_02197,Sepi_DM12G05_00653,Sepi_DM12H06_00450,Sepi_DM1B01__01006,Sepi_DM21A02_01947,Sepi_DM21B07_02207,Sepi_DM21C07_00181,Sepi_DM21F02_01128,Sepi_DM23A01_01080,Sepi_DM23A02_01280,Sepi_DM23A03_01999,Sepi_DM23C12_01971,Sepi_DM23E02_01544,Sepi_DM23E06_00815,Sepi_DM24B02_01646,Sepi_DM24B03_00404,Sepi_DM24B04_00115,Sepi_DM24G04_01345,Sepi_DM24G05_00715,Sepi_DM2D11__00875,Sepi_DM2G10__00838,Sepi_DM2H03__00617,Sepi_DM39F06_01528,Sepi_DM3A08__02018,Shom_28C10_a_01738,Shom_6C072_a_00598,Shom_DM12H05_00563
yflS,yflS,Putative malate transporter YflS,73,73,1.0,1,1199,,,,1419,1419,1419.0,Scap_DM21B06_02322,Sepi_1A04_aa_02358,Sepi_1C01_aa_01065,Sepi_28C03_a_00554,Sepi_28C09_a_01004,Sepi_29G01_a_00295,Sepi_2A01_aa_00804,Sepi_2C10_ad_01453,Sepi_2D07_ad_00356,Sepi_2d12_aa_02004,Sepi_2E07_ad_00702,Sepi_2g06_aa_01306,Sepi_30A07_a_00912,Sepi_30B01_a_01050,Sepi_3A01_ad_01200,Sepi_3A05_ad_01083,Sepi_3A07_ad_00894,Sepi_3a11_aa_01442,Sepi_3C06_ad_00028,Sepi_3c09_aa_01285,Sepi_3c10_aa_02062,Sepi_3D11_aa_00594,Sepi_58D03_C_01728,Sepi_58D04_C_02230,Sepi_58F01_C_01663,Sepi_5A02_aa_01764,Sepi_5B11_aa_00521,Sepi_5c01_aa_02224,Sepi_5C04_ad_01671,Sepi_61B02_C_01382,Sepi_63G02_C_00894,Sepi_6A01_aa_00619,Sepi_6b04_aa_00547,Sepi_6B08_ad_01125,Sepi_6C06_aa_00359,Sepi_6C08_ad_01594,Sepi_6d05_aa_02196,Sepi_6E08_ad_01672,Sepi_7a07_aa_00156,Sepi_7B05_aa_01421,Sepi_8C10_ad_00729,Sepi_9B05_ad_00870,Sepi_9D01_ad_01420,Sepi_9d05_aa_00175,Sepi_9d06_aa_00313,Sepi_9E06_aa_01191,Sepi_DM12F07_01009,Sepi_DM12G05_01034,Sepi_DM12H06_00513,Sepi_DM1B01__00941,50_refound_260,Sepi_DM21B07_02127,Sepi_DM21C07_01547,Sepi_DM21F02_00889,Sepi_DM23A01_01012,Sepi_DM23A02_01075,Sepi_DM23A03_02039,Sepi_DM23C12_01934,Sepi_DM23E02_01480,Sepi_DM23E06_00747,Sepi_DM24B02_01231,Sepi_DM24B03_00339,Sepi_DM24B04_00180,Sepi_DM24G04_01042,Sepi_DM24G05_00780,Sepi_DM2D11__00806,Sepi_DM2G10__00465,Sepi_DM2H03__00502,Sepi_DM39F06_00534,Sepi_DM3A08__01076,Shom_28C10_a_00839,Shom_6C072_a_00670,Shom_DM12H05_00626
groS,groS,10 kDa chaperonin,73,73,1.0,1,1198,,,,285,285,285.0,Scap_DM21B06_01038,Sepi_1A04_aa_00644,Sepi_1C01_aa_00790,Sepi_28C03_a_02427,Sepi_28C09_a_00854,Sepi_29G01_a_01240,Sepi_2A01_aa_00988,Sepi_2C10_ad_01393,Sepi_2D07_ad_01750,Sepi_2d12_aa_01329,Sepi_2E07_ad_01565,Sepi_2g06_aa_01425,Sepi_30A07_a_01145,Sepi_30B01_a_01987,Sepi_3A01_ad_02071,Sepi_3A05_ad_02007,Sepi_3A07_ad_00973,Sepi_3a11_aa_02074,Sepi_3C06_ad_01269,Sepi_3c09_aa_00191,Sepi_3c10_aa_02034,Sepi_3D11_aa_01636,Sepi_58D03_C_02503,Sepi_58D04_C_01266,Sepi_58F01_C_02305,Sepi_5A02_aa_01710,Sepi_5B11_aa_00866,Sepi_5c01_aa_01579,Sepi_5C04_ad_01328,Sepi_61B02_C_01283,Sepi_63G02_C_01644,Sepi_6A01_aa_02010,Sepi_6b04_aa_02187,Sepi_6B08_ad_01596,Sepi_6C06_aa_02309,Sepi_6C08_ad_01827,Sepi_6d05_aa_00129,Sepi_6E08_ad_01125,Sepi_7a07_aa_01551,Sepi_7B05_aa_01364,Sepi_8C10_ad_01661,Sepi_9B05_ad_01665,Sepi_9D01_ad_01271,Sepi_9d05_aa_00811,Sepi_9d06_aa_01146,Sepi_9E06_aa_01615,Sepi_DM12F07_01113,Sepi_DM12G05_02014,Sepi_DM12H06_01742,Sepi_DM1B01__01425,Sepi_DM21A02_02377,Sepi_DM21B07_01306,Sepi_DM21C07_01993,Sepi_DM21F02_02021,Sepi_DM23A01_02177,Sepi_DM23A02_01629,Sepi_DM23A03_01355,Sepi_DM23C12_02075,Sepi_DM23E02_01922,Sepi_DM23E06_02154,Sepi_DM24B02_01679,Sepi_DM24B03_01210,Sepi_DM24B04_01639,Sepi_DM24G04_01711,Sepi_DM24G05_01730,Sepi_DM2D11__01759,Sepi_DM2G10__01736,Sepi_DM2H03__01697,Sepi_DM39F06_01668,Sepi_DM3A08__01974,Shom_28C10_a_00689,Shom_6C072_a_01923,Shom_DM12H05_02015
rpmA,rpmA,50S ribosomal protein L27,73,73,1.0,1,1196,,,,285,285,285.0,Scap_DM21B06_00834,Sepi_1A04_aa_01080,Sepi_1C01_aa_00457,Sepi_28C03_a_00945,Sepi_28C09_a_00064,Sepi_29G01_a_00967,Sepi_2A01_aa_02199,Sepi_2C10_ad_01573,Sepi_2D07_ad_00654,Sepi_2d12_aa_01036,Sepi_2E07_ad_00209,Sepi_2g06_aa_01181,Sepi_30A07_a_00209,Sepi_30B01_a_01719,Sepi_3A01_ad_02264,Sepi_3A05_ad_02274,Sepi_3A07_ad_00798,Sepi_3a11_aa_00160,Sepi_3C06_ad_01335,Sepi_3c09_aa_00473,Sepi_3c10_aa_01796,Sepi_3D11_aa_00242,Sepi_58D03_C_02403,Sepi_58D04_C_00934,Sepi_58F01_C_00256,Sepi_5A02_aa_00752,Sepi_5B11_aa_01781,Sepi_5c01_aa_01283,Sepi_5C04_ad_00541,Sepi_61B02_C_00667,Sepi_63G02_C_01181,Sepi_6A01_aa_01762,Sepi_6b04_aa_00095,Sepi_6B08_ad_01185,Sepi_6C06_aa_00972,Sepi_6C08_ad_00120,Sepi_6d05_aa_00537,Sepi_6E08_ad_00597,Sepi_7a07_aa_01364,Sepi_7B05_aa_00241,Sepi_8C10_ad_00188,Sepi_9B05_ad_01326,Sepi_9D01_ad_01160,Sepi_9d05_aa_01124,Sepi_9d06_aa_00700,Sepi_9E06_aa_00928,Sepi_DM12F07_00370,Sepi_DM12G05_00295,Sepi_DM12H06_01294,Sepi_DM1B01__00508,Sepi_DM21A02_00994,Sepi_DM21B07_00903,Sepi_DM21C07_01887,Sepi_DM21F02_00345,Sepi_DM23A01_00188,Sepi_DM23A02_00668,Sepi_DM23A03_00949,Sepi_DM23C12_01043,Sepi_DM23E02_00437,Sepi_DM23E06_00467,Sepi_DM24B02_00718,Sepi_DM24B03_01095,Sepi_DM24B04_01675,Sepi_DM24G04_00669,Sepi_DM24G05_01281,Sepi_DM2D11__01017,Sepi_DM2G10__02300,Sepi_DM2H03__00051,Sepi_DM39F06_00830,Sepi_DM3A08__00123,Shom_28C10_a_00241,Shom_6C072_a_01361,Shom_DM12H05_01410
leuD,leuD,3-isopropylmalate dehydratase small subunit,73,73,1.0,1,1195,,,,375,570,561.986301369863,Scap_DM21B06_01067,Sepi_1A04_aa_00615,Sepi_1C01_aa_00819,Sepi_28C03_a_02400,Sepi_28C09_a_00825,Sepi_29G01_a_01269,Sepi_2A01_aa_00959,Sepi_2C10_ad_01422,Sepi_2D07_ad_01779,Sepi_2d12_aa_01359,Sepi_2E07_ad_01594,Sepi_2g06_aa_01454,Sepi_30A07_a_01116,Sepi_30B01_a_02016,Sepi_3A01_ad_02352,Sepi_3A05_ad_02346,Sepi_3A07_ad_00944,Sepi_3a11_aa_02044,Sepi_3C06_ad_01298,Sepi_3c09_aa_02114,Sepi_3c10_aa_02399,Sepi_3D11_aa_01665,Sepi_58D03_C_01409,Sepi_58D04_C_01237,Sepi_58F01_C_02276,Sepi_5A02_aa_01740,Sepi_5B11_aa_00837,Sepi_5c01_aa_01608,Sepi_5C04_ad_02253,Sepi_61B02_C_01312,Sepi_63G02_C_01673,Sepi_6A01_aa_02039,Sepi_6b04_aa_00002,Sepi_6B08_ad_01626,Sepi_6C06_aa_02338,Sepi_6C08_ad_01856,Sepi_6d05_aa_00158,Sepi_6E08_ad_01096,Sepi_7a07_aa_01581,Sepi_7B05_aa_01393,Sepi_8C10_ad_02139,Sepi_9B05_ad_01636,Sepi_9D01_ad_01242,Sepi_9d05_aa_00781,Sepi_9d06_aa_01117,Sepi_9E06_aa_01645,Sepi_DM12F07_01084,Sepi_DM12G05_02296,Sepi_DM12H06_01713,Sepi_DM1B01__01396,Sepi_DM21A02_02293,Sepi_DM21B07_01335,Sepi_DM21C07_01964,Sepi_DM21F02_02278,Sepi_DM23A01_02206,Sepi_DM23A02_01659,Sepi_DM23A03_01384,Sepi_DM23C12_02046,Sepi_DM23E02_01951,Sepi_DM23E06_02125,Sepi_DM24B02_01650,Sepi_DM24B03_01239,Sepi_DM24B04_02383,Sepi_DM24G04_01682,Sepi_DM24G05_01759,Sepi_DM2D11__02273,Sepi_DM2G10__01765,Sepi_DM2H03__01668,Sepi_DM39F06_01697,Sepi_DM3A08__01945,Shom_28C10_a_00660,Shom_6C072_a_01953,Shom_DM12H05_01986
group_675,,hypothetical protein,73,73,1.0,1,1194,,,,579,609,588.6164383561644,Scap_DM21B06_00798,Sepi_1A04_aa_01674,Sepi_1C01_aa_00929,Sepi_28C03_a_00324,Sepi_28C09_a_02286,Sepi_29G01_a_00866,Sepi_2A01_aa_00644,Sepi_2C10_ad_00867,Sepi_2D07_ad_00994,Sepi_2d12_aa_01651,Sepi_2E07_ad_01009,Sepi_2g06_aa_00796,Sepi_30A07_a_00457,Sepi_30B01_a_00570,Sepi_3A01_ad_02384,Sepi_3A05_ad_02364,Sepi_3A07_ad_00475,Sepi_3a11_aa_00537,Sepi_3C06_ad_01630,Sepi_3c09_aa_00005,Sepi_3c10_aa_02422,Sepi_3D11_aa_00707,Sepi_58D03_C_01942,Sepi_58D04_C_01765,Sepi_58F01_C_02029,Sepi_5A02_aa_01023,Sepi_5B11_aa_00403,Sepi_5c01_aa_01858,Sepi_5C04_ad_01482,Sepi_61B02_C_00630,Sepi_63G02_C_00981,Sepi_6A01_aa_01499,Sepi_6b04_aa_00170,Sepi_6B08_ad_00361,Sepi_6C06_aa_00575,Sepi_6C08_ad_00883,Sepi_6d05_aa_01811,Sepi_6E08_ad_01031,Sepi_7a07_aa_02167,Sepi_7B05_aa_01165,Sepi_8C10_ad_01016,Sepi_9B05_ad_00684,Sepi_9D01_ad_00814,Sepi_9d05_aa_00535,Sepi_9d06_aa_01111,Sepi_9E06_aa_00314,Sepi_DM12F07_00741,Sepi_DM12G05_01523,Sepi_DM12H06_00931,Sepi_DM1B01__01046,Sepi_DM21A02_01213,Sepi_DM21B07_00797,Sepi_DM21C07_00296,Sepi_DM21F02_01760,Sepi_DM23A01_01666,Sepi_DM23A02_02218,Sepi_DM23A03_00711,Sepi_DM23C12_00816,Sepi_DM23E02_00680,Sepi_DM23E06_01329,Sepi_DM24B02_00465,Sepi_DM24B03_00986,Sepi_DM24B04_00961,Sepi_DM24G04_00445,Sepi_DM24G05_01617,Sepi_DM2D11__00505,Sepi_DM2G10__00634,Sepi_DM2H03__01209,Sepi_DM39F06_00003,Sepi_DM3A08__00628,Shom_28C10_a_01176,Shom_6C072_a_00231,Shom_DM12H05_00728
group_674,,hypothetical protein,73,73,1.0,1,1193,,,,195,195,195.0,Scap_DM21B06_02227,Sepi_1A04_aa_00396,Sepi_1C01_aa_02211,Sepi_28C03_a_02340,Sepi_28C09_a_02239,Sepi_29G01_a_02361,Sepi_2A01_aa_02238,Sepi_2C10_ad_00574,Sepi_2D07_ad_01276,Sepi_2d12_aa_00279,Sepi_2E07_ad_01403,Sepi_2g06_aa_00105,Sepi_30A07_a_00229,Sepi_30B01_a_02291,Sepi_3A01_ad_01038,Sepi_3A05_ad_02332,Sepi_3A07_ad_02249,Sepi_3a11_aa_01087,Sepi_3C06_ad_00954,Sepi_3c09_aa_01450,Sepi_3c10_aa_02369,Sepi_3D11_aa_01299,Sepi_58D03_C_00662,Sepi_58D04_C_00283,Sepi_58F01_C_01040,Sepi_5A02_aa_00279,Sepi_5B11_aa_00991,Sepi_5c01_aa_00499,Sepi_5C04_ad_00939,Sepi_61B02_C_00877,Sepi_63G02_C_00088,Sepi_6A01_aa_01817,Sepi_6b04_aa_01208,Sepi_6B08_ad_00219,Sepi_6C06_aa_02126,Sepi_6C08_ad_01344,Sepi_6d05_aa_01283,Sepi_6E08_ad_02349,Sepi_7a07_aa_00344,Sepi_7B05_aa_02230,Sepi_8C10_ad_01139,Sepi_9B05_ad_01820,Sepi_9D01_ad_01841,Sepi_9d05_aa_01942,Sepi_9d06_aa_02174,Sepi_9E06_aa_00088,Sepi_DM12F07_02160,Sepi_DM12G05_01776,Sepi_DM12H06_02219,Sepi_DM1B01__00646,Sepi_DM21A02_00656,Sepi_DM21B07_01354,Sepi_DM21C07_00877,Sepi_DM21F02_02247,Sepi_DM23A01_00707,Sepi_DM23A02_00479,Sepi_DM23A03_00085,Sepi_DM23C12_00085,Sepi_DM23E02_01720,Sepi_DM23E06_00174,Sepi_DM24B02_00148,Sepi_DM24B03_02413,Sepi_DM24B04_01973,Sepi_DM24G04_01213,Sepi_DM24G05_02328,Sepi_DM2D11__00022,Sepi_DM2G10__02271,Sepi_DM2H03__02307,Sepi_DM39F06_01363,Sepi_DM3A08__02315,Shom_28C10_a_02216,Shom_6C072_a_01166,Shom_DM12H05_02146
leuB_1~~~leuB_2~~~leuB,leuB_1;leuB_2;leuB,3-isopropylmalate dehydrogenase,73,74,1.0136986301369864,1,1192,,,,456,1044,1029.3648648648648,Scap_DM21B06_01065,Sepi_1A04_aa_00617,Sepi_1C01_aa_00817,Sepi_28C03_a_02398,Sepi_28C09_a_00827,Sepi_29G01_a_01267,Sepi_2A01_aa_00961,Sepi_2C10_ad_01420,Sepi_2D07_ad_01777,Sepi_2d12_aa_01357,Sepi_2E07_ad_01592,Sepi_2g06_aa_01452,Sepi_30A07_a_01118,Sepi_30B01_a_02014,Sepi_3A01_ad_02354,Sepi_3A05_ad_02344,Sepi_3A07_ad_00946,Sepi_3a11_aa_02047;Sepi_3a11_aa_02046,Sepi_3C06_ad_01296,Sepi_3c09_aa_02112,Sepi_3c10_aa_02401,Sepi_3D11_aa_01663,Sepi_58D03_C_01407,Sepi_58D04_C_01239,Sepi_58F01_C_02278,Sepi_5A02_aa_01738,Sepi_5B11_aa_00839,Sepi_5c01_aa_01606,Sepi_5C04_ad_02251,Sepi_61B02_C_01310,Sepi_63G02_C_01671,Sepi_6A01_aa_02037,Sepi_6b04_aa_02215,Sepi_6B08_ad_01624,Sepi_6C06_aa_02336,Sepi_6C08_ad_01854,Sepi_6d05_aa_00156,Sepi_6E08_ad_01098,Sepi_7a07_aa_01579,Sepi_7B05_aa_01391,Sepi_8C10_ad_02137,Sepi_9B05_ad_01638,Sepi_9D01_ad_01244,Sepi_9d05_aa_00784,Sepi_9d06_aa_01119,Sepi_9E06_aa_01642,Sepi_DM12F07_01086,Sepi_DM12G05_02294,Sepi_DM12H06_01715,Sepi_DM1B01__01398,Sepi_DM21A02_02291,Sepi_DM21B07_01333,Sepi_DM21C07_01966,Sepi_DM21F02_02280,Sepi_DM23A01_02204,Sepi_DM23A02_01657,Sepi_DM23A03_01382,Sepi_DM23C12_02048,Sepi_DM23E02_01949,Sepi_DM23E06_02127,Sepi_DM24B02_01652,Sepi_DM24B03_01237,Sepi_DM24B04_02381,Sepi_DM24G04_01684,Sepi_DM24G05_01757,Sepi_DM2D11__02271,Sepi_DM2G10__01763,Sepi_DM2H03__01670,Sepi_DM39F06_01695,Sepi_DM3A08__01947,Shom_28C10_a_00662,Shom_6C072_a_01951,Shom_DM12H05_01988
group_672,,hypothetical protein,73,73,1.0,1,1190,,,,885,1125,1121.7123287671234,Scap_DM21B06_00905,Sepi_1A04_aa_01324,Sepi_1C01_aa_00527,Sepi_28C03_a_01014,Sepi_28C09_a_00805,Sepi_29G01_a_01036,Sepi_2A01_aa_01307,Sepi_2C10_ad_01823,Sepi_2D07_ad_02064,Sepi_2d12_aa_01106,Sepi_2E07_ad_00279,Sepi_2g06_aa_00627,Sepi_30A07_a_00722,Sepi_30B01_a_02092,Sepi_3A01_ad_00360,Sepi_3A05_ad_00572,Sepi_3A07_ad_00728,Sepi_3a11_aa_00029,Sepi_3C06_ad_01793,Sepi_3c09_aa_00543,Sepi_3c10_aa_01444,Sepi_3D11_aa_00311,Sepi_58D03_C_01500,Sepi_58D04_C_01004,Sepi_58F01_C_00187,Sepi_5A02_aa_01536,Sepi_5B11_aa_00807,Sepi_5c01_aa_01352,Sepi_5C04_ad_00611,Sepi_61B02_C_00737,Sepi_63G02_C_01251,Sepi_6A01_aa_00812,Sepi_6b04_aa_01944,Sepi_6B08_ad_02059,Sepi_6C06_aa_00903,Sepi_6C08_ad_00050,Sepi_6d05_aa_00468,Sepi_6E08_ad_00528,Sepi_7a07_aa_01434,Sepi_7B05_aa_00312,Sepi_8C10_ad_00258,Sepi_9B05_ad_01735,Sepi_9D01_ad_01230,Sepi_9d05_aa_01054,Sepi_9d06_aa_02069,Sepi_9E06_aa_00858,Sepi_DM12F07_00440,Sepi_DM12G05_00226,Sepi_DM12H06_01224,Sepi_DM1B01__01251,Sepi_DM21A02_01651,Sepi_DM21B07_00832,Sepi_DM21C07_01147,Sepi_DM21F02_00414,Sepi_DM23A01_00119,Sepi_DM23A02_00739,Sepi_DM23A03_01019,Sepi_DM23C12_00973,Sepi_DM23E02_00510,Sepi_DM23E06_01600,Sepi_DM24B02_00787,Sepi_DM24B03_01025,Sepi_DM24B04_00286,Sepi_DM24G04_00600,Sepi_DM24G05_01211,Sepi_DM2D11__01087,Sepi_DM2G10__01712,Sepi_DM2H03__00121,Sepi_DM39F06_00899,Sepi_DM3A08__00053,Shom_28C10_a_00420,Shom_6C072_a_00929,Shom_DM12H05_01034
